Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00110619, 0.000605108, 0.000500665, 4.0375e-05, 2482, 4389, 2337
0.00109174, 0.000603938, 0.000487359, 4.7621e-05, 2556, 4289, 2829
0.00104616, 0.000612571, 0.000432857, 5.0677e-05, 2512, 4376, 2829
0.00112959, 0.000643513, 0.000485319, 4.446e-05, 2576, 4618, 2460
0.00119571, 0.000670655, 0.000524585, 4.1158e-05, 2680, 4754, 2091
0.00127367, 0.000672706, 0.000600226, 3.5425e-05, 2699, 4763, 1722
0.00132042, 0.000742134, 0.000577477, 4.9981e-05, 2738, 4937, 2583
0.00123164, 0.000755059, 0.000475925, 4.4927e-05, 2721, 4905, 2214
0.00120953, 0.000692404, 0.000516412, 5.4764e-05, 2692, 4765, 2829
0.00116599, 0.000655088, 0.0005103, 4.4508e-05, 2646, 4980, 2214
0.00103284, 0.000608125, 0.000424137, 3.697e-05, 2491, 4502, 1722
0.00134882, 0.000771373, 0.000576608, 8.053e-05, 2395, 4306, 3321
0.00144548, 0.00078461, 0.000660183, 8.4281e-05, 2441, 4002, 2706
0.0011446, 0.000628456, 0.000515676, 4.4435e-05, 2534, 4257, 2337
0.00116168, 0.000652119, 0.000508902, 3.3717e-05, 2499, 4193, 1353
0.00145156, 0.000714982, 0.000735373, 8.0074e-05, 2518, 4546, 3690
0.00117998, 0.000648757, 0.000530684, 6.1373e-05, 2496, 4428, 2583
0.00120386, 0.000640543, 0.000562451, 7.0685e-05, 2633, 4409, 3813
0.0011549, 0.00069183, 0.000462477, 5.092e-05, 2630, 4534, 2460
0.00121267, 0.000703296, 0.000508362, 5.347e-05, 2674, 4569, 2706
0.00112769, 0.000674275, 0.000452822, 5.0454e-05, 2663, 4834, 2829
0.00110634, 0.000622091, 0.000483822, 5.5004e-05, 2616, 4376, 2706
0.00111035, 0.000593683, 0.000516172, 4.5721e-05, 2593, 4017, 2583
0.0011601, 0.000613955, 0.000545291, 5.6837e-05, 2541, 3896, 2706
0.00119925, 0.000637121, 0.000561532, 6.4563e-05, 2524, 3977, 3444
0.00114294, 0.000628765, 0.000513281, 5.9659e-05, 2539, 3808, 3321
0.00159536, 0.000704063, 0.000890043, 9.9521e-05, 2603, 4456, 2952
0.00157228, 0.000778482, 0.000792931, 9.7922e-05, 2594, 4386, 3444
0.00137282, 0.000508688, 0.000863177, 6.0418e-05, 2622, 4416, 3321
